State,City,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,2014-01-01,Parts per billion,16.5125,Parts per million,0.01325,Parts per billion,0.363636,Parts per million,0.204545
Alabama,Birmingham,2014-01-02,Parts per billion,3.6625,Parts per million,0.018458,Parts per billion,-0.009091,Parts per million,0.158824
Alabama,Birmingham,2014-01-03,Parts per billion,1.725,Parts per million,0.019708,Parts per billion,0.79,Parts per million,0.177273
Alabama,Birmingham,2014-01-06,Parts per billion,4.8727269999999985,Parts per million,0.028583,Parts per billion,0.045,Parts per million,0.03
Alabama,Birmingham,2014-01-07,Parts per billion,12.7625,Parts per million,0.014792,Parts per billion,0.236364,Parts per million,0.26363600000000004
Alabama,Birmingham,2014-01-08,Parts per billion,58.58181800000001,Parts per million,0.004588,Parts per billion,3.525,Parts per million,0.7055560000000001
Alabama,Birmingham,2014-02-18,Parts per billion,7.693333,Parts per million,0.016375,Parts per billion,0.965,Parts per million,0.197727
Alabama,Birmingham,2014-02-19,Parts per billion,12.175,Parts per million,0.01375,Parts per billion,0.475,Parts per million,0.197273
Alabama,Birmingham,2014-02-20,Parts per billion,4.875,Parts per million,0.019125,Parts per billion,0.3,Parts per million,0.112727
Alabama,Birmingham,2014-02-21,Parts per billion,10.183333,Parts per million,0.018625,Parts per billion,0.522727,Parts per million,0.235
Alabama,Birmingham,2014-02-22,Parts per billion,16.070833,Parts per million,0.016875,Parts per billion,2.381818,Parts per million,0.349545
Alabama,Birmingham,2014-02-23,Parts per billion,18.908333,Parts per million,0.018375,Parts per billion,2.722727,Parts per million,0.366364
Alabama,Birmingham,2014-02-24,Parts per billion,6.7708330000000005,Parts per million,0.021292,Parts per billion,1.16,Parts per million,0.138
Alabama,Birmingham,2014-02-25,Parts per billion,17.004762,Parts per million,0.016416999999999998,Parts per billion,3.5727269999999995,Parts per million,0.200455
Alabama,Birmingham,2014-02-26,Parts per billion,4.595833,Parts per million,0.02475,Parts per billion,0.6863640000000001,Parts per million,0.174118
Alabama,Birmingham,2014-02-27,Parts per billion,6.12,Parts per million,0.019333000000000003,Parts per billion,0.571429,Parts per million,0.329048
Alabama,Birmingham,2014-02-28,Parts per billion,7.58,Parts per million,0.01725,Parts per billion,2.833333,Parts per million,0.342727
Alabama,Birmingham,2014-03-03,Parts per billion,3.485714,Parts per million,0.028824,Parts per billion,0.0,Parts per million,0.10823499999999996
Alabama,Birmingham,2014-03-04,Parts per billion,11.190909,Parts per million,0.012458,Parts per billion,0.461111,Parts per million,0.245909
Alabama,Birmingham,2014-03-05,Parts per billion,8.475,Parts per million,0.0028,Parts per billion,0.59,Parts per million,0.309
Alabama,Birmingham,2014-03-06,Parts per billion,8.6625,Parts per million,0.020938,Parts per billion,-0.021429,Parts per million,0.177143
Alabama,Birmingham,2014-03-07,Parts per billion,13.394118,Parts per million,0.015166999999999996,Parts per billion,1.022727,Parts per million,0.274091
Alabama,Birmingham,2014-03-08,Parts per billion,17.566667000000002,Parts per million,0.013708,Parts per billion,0.781818,Parts per million,0.479091
Alabama,Birmingham,2014-03-09,Parts per billion,12.908333,Parts per million,0.019208000000000003,Parts per billion,-0.040909,Parts per million,0.264545
Alabama,Birmingham,2014-03-10,Parts per billion,17.0875,Parts per million,0.014375,Parts per billion,0.275,Parts per million,0.32299999999999995
Alabama,Birmingham,2014-03-11,Parts per billion,14.245833,Parts per million,0.021708,Parts per billion,1.186364,Parts per million,0.360455
Alabama,Birmingham,2014-03-12,Parts per billion,6.164286,Parts per million,0.023583,Parts per billion,0.0,Parts per million,0.101818
Alabama,Birmingham,2014-03-13,Parts per billion,13.614285999999998,Parts per million,0.020875,Parts per billion,0.32105300000000003,Parts per million,0.189091
Alabama,Birmingham,2014-03-14,Parts per billion,19.130435,Parts per million,0.023958,Parts per billion,0.8318180000000001,Parts per million,0.281818
Alabama,Birmingham,2014-03-15,Parts per billion,8.5875,Parts per million,0.029125,Parts per billion,1.509091,Parts per million,0.211364
Alabama,Birmingham,2014-03-16,Parts per billion,9.65,Parts per million,0.018167,Parts per billion,0.022727,Parts per million,0.210909
Alabama,Birmingham,2014-03-17,Parts per billion,4.541667,Parts per million,0.0115,Parts per billion,-0.1,Parts per million,0.1755
Alabama,Birmingham,2014-03-18,Parts per billion,7.0125,Parts per million,0.0115,Parts per billion,1.338095,Parts per million,0.17600000000000002
Alabama,Birmingham,2014-03-19,Parts per billion,9.045833,Parts per million,0.0175,Parts per billion,0.072727,Parts per million,0.278235
Alabama,Birmingham,2014-03-20,Parts per billion,11.925,Parts per million,0.017,Parts per billion,0.794737,Parts per million,0.243182
Alabama,Birmingham,2014-03-21,Parts per billion,21.241667,Parts per million,0.021529,Parts per billion,2.25,Parts per million,0.410909
Alabama,Birmingham,2014-03-22,Parts per billion,15.585714,Parts per million,0.027444,Parts per billion,1.283333,Parts per million,0.355
Alabama,Birmingham,2014-03-24,Parts per billion,6.123529,Parts per million,0.031292,Parts per billion,1.71,Parts per million,0.171
Alabama,Birmingham,2014-03-25,Parts per billion,4.840909,Parts per million,0.029792000000000006,Parts per billion,0.55,Parts per million,0.170455
Alabama,Birmingham,2014-03-26,Parts per billion,12.129167,Parts per million,0.028917,Parts per billion,1.095,Parts per million,0.203182
Alabama,Birmingham,2014-03-27,Parts per billion,6.0125,Parts per million,0.035167000000000004,Parts per billion,0.754545,Parts per million,0.180455
Alabama,Birmingham,2014-03-28,Parts per billion,7.854166999999999,Parts per million,0.022542,Parts per billion,0.990909,Parts per million,0.14590899999999998
Alabama,Birmingham,2014-03-29,Parts per billion,3.1333330000000004,Parts per million,0.02625,Parts per billion,0.054545,Parts per million,0.121364
Alabama,Birmingham,2014-03-30,Parts per billion,6.516667,Parts per million,0.022875,Parts per billion,0.240909,Parts per million,0.185455
