State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,1/1/2014,Parts per billion,16.5125,Parts per million,0.01325,Parts per billion,0.363636,Parts per million,0.204545
Alabama,Birmingham,,1/6/2014,1/2/2014,Parts per billion,3.6625,Parts per million,0.018458,Parts per billion,-0.009091,Parts per million,0.158824
Alabama,Birmingham,,1/13/2014,1/3/2014,Parts per billion,1.725,Parts per million,0.019708,Parts per billion,0.79,Parts per million,0.177273
Alabama,Birmingham,,1/20/2014,1/6/2014,Parts per billion,4.872727,Parts per million,0.028583,Parts per billion,0.045,Parts per million,0.03
Alabama,Birmingham,,1/27/2014,1/7/2014,Parts per billion,12.7625,Parts per million,0.014792,Parts per billion,0.236364,Parts per million,0.263636
Alabama,Birmingham,,,1/8/2014,Parts per billion,58.581818,Parts per million,0.004588,Parts per billion,3.525,Parts per million,0.705556
Alabama,Birmingham,,,2/18/2014,Parts per billion,7.693333,Parts per million,0.016375,Parts per billion,0.965,Parts per million,0.197727
Alabama,Birmingham,,2/3/2014,2/19/2014,Parts per billion,12.175,Parts per million,0.01375,Parts per billion,0.475,Parts per million,0.197273
Alabama,Birmingham,,2/10/2014,2/20/2014,Parts per billion,4.875,Parts per million,0.019125,Parts per billion,0.3,Parts per million,0.112727
Alabama,Birmingham,,2/17/2014,2/21/2014,Parts per billion,10.183333,Parts per million,0.018625,Parts per billion,0.522727,Parts per million,0.235
Alabama,Birmingham,,,2/22/2014,Parts per billion,16.070833,Parts per million,0.016875,Parts per billion,2.381818,Parts per million,0.349545
Alabama,Birmingham,,,2/23/2014,Parts per billion,18.908333,Parts per million,0.018375,Parts per billion,2.722727,Parts per million,0.366364
Alabama,Birmingham,,2/24/2014,2/24/2014,Parts per billion,6.770833,Parts per million,0.021292,Parts per billion,1.16,Parts per million,0.138
Alabama,Birmingham,,,2/25/2014,Parts per billion,17.004762,Parts per million,0.016417,Parts per billion,3.572727,Parts per million,0.200455
Alabama,Birmingham,,,2/26/2014,Parts per billion,4.595833,Parts per million,0.02475,Parts per billion,0.686364,Parts per million,0.174118
Alabama,Birmingham,,,2/27/2014,Parts per billion,6.12,Parts per million,0.019333,Parts per billion,0.571429,Parts per million,0.329048
Alabama,Birmingham,,,2/28/2014,Parts per billion,7.58,Parts per million,0.01725,Parts per billion,2.833333,Parts per million,0.342727
Alabama,Birmingham,,3/3/2014,3/3/2014,Parts per billion,3.485714,Parts per million,0.028824,Parts per billion,0,Parts per million,0.108235
Alabama,Birmingham,,,3/4/2014,Parts per billion,11.190909,Parts per million,0.012458,Parts per billion,0.461111,Parts per million,0.245909
Alabama,Birmingham,,,3/5/2014,Parts per billion,8.475,Parts per million,0.0028,Parts per billion,0.59,Parts per million,0.309
Alabama,Birmingham,,,3/6/2014,Parts per billion,8.6625,Parts per million,0.020938,Parts per billion,-0.021429,Parts per million,0.177143
Alabama,Birmingham,,,3/7/2014,Parts per billion,13.394118,Parts per million,0.015167,Parts per billion,1.022727,Parts per million,0.274091
Alabama,Birmingham,,,3/8/2014,Parts per billion,17.566667,Parts per million,0.013708,Parts per billion,0.781818,Parts per million,0.479091
Alabama,Birmingham,,,3/9/2014,Parts per billion,12.908333,Parts per million,0.019208,Parts per billion,-0.040909,Parts per million,0.264545
Alabama,Birmingham,,3/10/2014,3/10/2014,Parts per billion,17.0875,Parts per million,0.014375,Parts per billion,0.275,Parts per million,0.323
Alabama,Birmingham,,,3/11/2014,Parts per billion,14.245833,Parts per million,0.021708,Parts per billion,1.186364,Parts per million,0.360455
Alabama,Birmingham,,,3/12/2014,Parts per billion,6.164286,Parts per million,0.023583,Parts per billion,0,Parts per million,0.101818
